"","count_perceptionPretestResponse","percepPretestA","percepPretestB","response_perceptionPretestResponse","subject_nr","audio","title","prepost","count_perceptionPostTestResponse","perceptionPostTestOptionA","perceptionPostTestOptionB","response_perceptionPostTestResponse","contrast","stepOnCon","BB","AF","responseV","count","pair"
"33",NA,NA,NA,NA,"1","pip-pep_continuumStep_1_stereo.wav","NB-MN-AF","post",53,"pip","pep","A","IE","1","NB","MN","I",53,"pip-pep"
"34",NA,NA,NA,NA,"1","pip-pep_continuumStep_5_stereo.wav","NB-MN-AF","post",57,"pip","pep","A","IE","5","NB","MN","I",57,"pip-pep"
"35",NA,NA,NA,NA,"1","kik-kek_continuumStep_4_stereo.wav","NB-MN-AF","post",58,"kek","kik","E","IE","4","NB","MN","I",58,"kik-kek"
"36",NA,NA,NA,NA,"1","pip-pep_continuumStep_3_stereo.wav","NB-MN-AF","post",60,"pip","pep","A","IE","3","NB","MN","I",60,"pip-pep"
"37",NA,NA,NA,NA,"1","pip-pep_continuumStep_6_stereo.wav","NB-MN-AF","post",64,"pip","pep","A","IE","6","NB","MN","I",64,"pip-pep"
"38",NA,NA,NA,NA,"1","sik-sec1.wav","NB-MN-AF","post",67,"sik","sec","A","IE","1","NB","MN","I",67,"sik-sec"
"39",NA,NA,NA,NA,"1","kik-kek_continuumStep_1_stereo.wav","NB-MN-AF","post",68,"kek","kik","E","IE","1","NB","MN","I",68,"kik-kek"
"40",NA,NA,NA,NA,"1","sik-sec2.wav","NB-MN-AF","post",70,"sik","sec","A","IE","2","NB","MN","I",70,"sik-sec"
"41",NA,NA,NA,NA,"1","sik-sec7.wav","NB-MN-AF","post",75,"sik","sec","E","IE","7","NB","MN","E",75,"sik-sec"
"42",NA,NA,NA,NA,"1","pip-pep_continuumStep_7_stereo.wav","NB-MN-AF","post",82,"pip","pep","E","IE","7","NB","MN","E",82,"pip-pep"
"43",17,"sik","sec","A","2","sik-sec2.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","2","BB","AF","I",17,"sik-sec"
"44",22,"pip","pep","A","2","pip-pep_continuumStep_1_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","1","BB","AF","I",22,"pip-pep"
"45",23,"pip","pep","A","2","pip-pep_continuumStep_3_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","3","BB","AF","I",23,"pip-pep"
"46",32,"sik","sec","A","2","sik-sec1.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","1","BB","AF","I",32,"sik-sec"
"47",34,"kek","kik","E","2","kik-kek_continuumStep_1_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","1","BB","AF","I",34,"kik-kek"
"48",36,"kek","kik","A","2","kik-kek_continuumStep_7_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","7","BB","AF","E",36,"kik-kek"
"49",40,"kek","kik","A","2","kik-kek_continuumStep_5_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","5","BB","AF","E",40,"kik-kek"
"50",43,"kek","kik","A","2","kik-kek_continuumStep_6_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","6","BB","AF","E",43,"kik-kek"
"51",44,"sik","sec","A","2","sik-sec4.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","4","BB","AF","I",44,"sik-sec"
"52",46,"sik","sec","A","2","sik-sec3.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","3","BB","AF","I",46,"sik-sec"
